OfferingID,CourseID,Semester,InstructorID,Schedule
1,485,Spring,147,"Mon 13:00-14:30,303,2023"
2,272,Spring,484,"Mon/Wed 9:00-10:30,101,2024"
3,306,Spring,306,
4,122,Summer,161,"Mon/Wed 9:00-10:30,101,2024"
5,128,Fall,141,"Tue/Thu 11:00-12:30,202,2025"
6,113,Spring,334,"Mon/Wed 9:00-10:30,101,2024"
7,427,Fall,97,"Tue/Thu 11:00-12:30,202,2025"
8,273,Fall,446,"Mon 13:00-14:30,303,2023"
9,336,Summer,221,"Mon 13:00-14:30,303,2023"
10,442,Summer,43,
11,130,Fall,433,"Tue/Thu 11:00-12:30,202,2025"
12,132,Spring,292,"Mon 13:00-14:30,303,2023"
13,85,Summer,378,
14,423,Spring,108,
15,482,Spring,266,"Mon/Wed 9:00-10:30,101,2024"
16,350,Spring,95,
17,390,Fall,262,"Mon 13:00-14:30,303,2023"
18,81,Spring,313,"Mon/Wed 9:00-10:30,101,2024"
19,487,Fall,385,"Tue/Thu 11:00-12:30,202,2025"
20,473,Fall,71,"Tue/Thu 11:00-12:30,202,2025"
21,325,Spring,442,"Mon 13:00-14:30,303,2023"
22,69,Spring,219,"Mon 13:00-14:30,303,2023"
23,148,Spring,21,"Mon/Wed 9:00-10:30,101,2024"
24,448,Spring,92,"Mon/Wed 9:00-10:30,101,2024"
25,16,Fall,127,"Mon 13:00-14:30,303,2023"
26,307,Spring,80,"Mon 13:00-14:30,303,2023"
27,105,Spring,312,"Tue/Thu 11:00-12:30,202,2025"
28,165,Fall,238,"Tue/Thu 11:00-12:30,202,2025"
29,488,Summer,471,"Tue/Thu 11:00-12:30,202,2025"
30,201,Summer,372,"Mon 13:00-14:30,303,2023"
31,197,Fall,404,
32,426,Summer,486,"Mon 13:00-14:30,303,2023"
33,185,Fall,182,"Mon 13:00-14:30,303,2023"
34,322,Spring,25,"Tue/Thu 11:00-12:30,202,2025"
35,265,Spring,156,"Mon 13:00-14:30,303,2023"
36,363,Summer,5,"Mon/Wed 9:00-10:30,101,2024"
37,100,Spring,120,"Mon 13:00-14:30,303,2023"
38,342,Summer,277,"Mon 13:00-14:30,303,2023"
39,320,Summer,18,"Mon 13:00-14:30,303,2023"
40,214,Spring,431,"Mon 13:00-14:30,303,2023"
41,278,Spring,198,
42,162,Summer,57,"Mon 13:00-14:30,303,2023"
43,439,Spring,93,"Mon/Wed 9:00-10:30,101,2024"
44,157,Fall,19,"Mon/Wed 9:00-10:30,101,2024"
45,422,Spring,384,"Mon 13:00-14:30,303,2023"
46,251,Spring,353,"Tue/Thu 11:00-12:30,202,2025"
47,366,Fall,193,
48,97,Spring,237,"Mon 13:00-14:30,303,2023"
49,18,Spring,387,"Mon 13:00-14:30,303,2023"
50,327,Summer,426,"Mon 13:00-14:30,303,2023"
51,449,Spring,277,"Tue/Thu 11:00-12:30,202,2025"
52,383,Spring,227,"Tue/Thu 11:00-12:30,202,2025"
53,97,Fall,233,"Tue/Thu 11:00-12:30,202,2025"
54,1,Summer,40,
55,216,Summer,323,"Mon/Wed 9:00-10:30,101,2024"
56,132,Summer,153,
57,260,Spring,127,"Tue/Thu 11:00-12:30,202,2025"
58,125,Summer,237,"Mon/Wed 9:00-10:30,101,2024"
59,82,Fall,486,"Mon/Wed 9:00-10:30,101,2024"
60,283,Summer,493,"Tue/Thu 11:00-12:30,202,2025"
61,171,Fall,55,"Tue/Thu 11:00-12:30,202,2025"
62,59,Summer,468,
63,32,Summer,436,"Tue/Thu 11:00-12:30,202,2025"
64,161,Fall,172,"Mon/Wed 9:00-10:30,101,2024"
65,284,Summer,109,"Mon 13:00-14:30,303,2023"
66,106,Summer,354,"Tue/Thu 11:00-12:30,202,2025"
67,105,Summer,469,"Tue/Thu 11:00-12:30,202,2025"
68,439,Spring,184,
69,228,Fall,439,
70,188,Summer,368,"Tue/Thu 11:00-12:30,202,2025"
71,70,Fall,471,"Mon/Wed 9:00-10:30,101,2024"
72,318,Fall,198,"Mon/Wed 9:00-10:30,101,2024"
73,464,Fall,371,"Mon 13:00-14:30,303,2023"
74,290,Summer,373,"Tue/Thu 11:00-12:30,202,2025"
75,87,Summer,461,
76,370,Fall,497,"Mon/Wed 9:00-10:30,101,2024"
77,362,Spring,87,"Mon 13:00-14:30,303,2023"
78,472,Fall,201,"Tue/Thu 11:00-12:30,202,2025"
79,56,Spring,337,"Mon/Wed 9:00-10:30,101,2024"
80,113,Fall,322,"Tue/Thu 11:00-12:30,202,2025"
81,13,Fall,275,"Tue/Thu 11:00-12:30,202,2025"
82,440,Fall,211,"Mon/Wed 9:00-10:30,101,2024"
83,18,Summer,391,"Mon/Wed 9:00-10:30,101,2024"
84,182,Spring,118,"Mon/Wed 9:00-10:30,101,2024"
85,461,Spring,191,"Tue/Thu 11:00-12:30,202,2025"
86,113,Fall,42,"Tue/Thu 11:00-12:30,202,2025"
87,229,Summer,42,"Mon 13:00-14:30,303,2023"
88,171,Summer,315,
89,295,Spring,276,"Tue/Thu 11:00-12:30,202,2025"
90,189,Summer,329,
91,426,Spring,17,"Mon/Wed 9:00-10:30,101,2024"
92,465,Spring,283,"Tue/Thu 11:00-12:30,202,2025"
93,79,Spring,431,"Mon 13:00-14:30,303,2023"
94,146,Summer,258,"Mon 13:00-14:30,303,2023"
95,407,Spring,63,
96,182,Spring,62,"Mon/Wed 9:00-10:30,101,2024"
97,499,Fall,100,
98,286,Spring,19,"Mon/Wed 9:00-10:30,101,2024"
99,250,Spring,17,"Mon 13:00-14:30,303,2023"
100,354,Fall,325,
101,314,Fall,423,"Mon 13:00-14:30,303,2023"
102,196,Summer,466,"Mon 13:00-14:30,303,2023"
103,323,Spring,373,"Mon/Wed 9:00-10:30,101,2024"
104,71,Summer,246,
105,248,Summer,251,
106,146,Fall,455,"Mon 13:00-14:30,303,2023"
107,106,Summer,81,"Mon 13:00-14:30,303,2023"
108,263,Spring,39,"Mon/Wed 9:00-10:30,101,2024"
109,296,Fall,36,"Tue/Thu 11:00-12:30,202,2025"
110,70,Spring,424,"Tue/Thu 11:00-12:30,202,2025"
111,470,Spring,429,"Mon 13:00-14:30,303,2023"
112,193,Fall,388,"Tue/Thu 11:00-12:30,202,2025"
113,68,Spring,486,"Tue/Thu 11:00-12:30,202,2025"
114,494,Fall,409,"Tue/Thu 11:00-12:30,202,2025"
115,305,Spring,197,"Tue/Thu 11:00-12:30,202,2025"
116,52,Fall,158,"Mon 13:00-14:30,303,2023"
117,370,Summer,204,"Tue/Thu 11:00-12:30,202,2025"
118,363,Spring,196,"Tue/Thu 11:00-12:30,202,2025"
119,285,Fall,216,"Mon/Wed 9:00-10:30,101,2024"
120,405,Spring,285,"Mon 13:00-14:30,303,2023"
121,474,Spring,457,
122,334,Spring,196,
123,9,Fall,307,"Mon/Wed 9:00-10:30,101,2024"
124,251,Summer,152,"Mon/Wed 9:00-10:30,101,2024"
125,431,Summer,14,"Mon 13:00-14:30,303,2023"
126,332,Summer,325,
127,298,Fall,146,"Tue/Thu 11:00-12:30,202,2025"
128,435,Summer,426,"Mon/Wed 9:00-10:30,101,2024"
129,184,Fall,57,
130,179,Spring,211,"Mon 13:00-14:30,303,2023"
131,198,Spring,268,"Tue/Thu 11:00-12:30,202,2025"
132,128,Summer,210,"Mon 13:00-14:30,303,2023"
133,20,Fall,17,"Mon/Wed 9:00-10:30,101,2024"
134,472,Spring,286,
135,411,Fall,344,
136,422,Fall,203,
137,328,Spring,99,
138,65,Fall,279,"Tue/Thu 11:00-12:30,202,2025"
139,182,Spring,209,"Tue/Thu 11:00-12:30,202,2025"
140,241,Spring,129,"Mon 13:00-14:30,303,2023"
141,369,Spring,335,"Tue/Thu 11:00-12:30,202,2025"
142,24,Fall,288,"Mon/Wed 9:00-10:30,101,2024"
143,384,Spring,252,"Mon/Wed 9:00-10:30,101,2024"
144,431,Fall,265,
145,455,Spring,271,"Mon/Wed 9:00-10:30,101,2024"
146,83,Spring,412,"Mon 13:00-14:30,303,2023"
147,470,Summer,408,"Tue/Thu 11:00-12:30,202,2025"
148,319,Summer,188,"Tue/Thu 11:00-12:30,202,2025"
149,185,Summer,419,"Tue/Thu 11:00-12:30,202,2025"
150,439,Fall,214,"Mon/Wed 9:00-10:30,101,2024"
151,316,Fall,283,"Tue/Thu 11:00-12:30,202,2025"
152,99,Spring,211,
153,62,Spring,365,
154,286,Spring,76,
155,477,Spring,148,"Mon/Wed 9:00-10:30,101,2024"
156,22,Fall,321,"Tue/Thu 11:00-12:30,202,2025"
157,459,Spring,213,"Mon/Wed 9:00-10:30,101,2024"
158,212,Spring,433,"Tue/Thu 11:00-12:30,202,2025"
159,126,Summer,109,"Mon 13:00-14:30,303,2023"
160,413,Spring,129,"Mon 13:00-14:30,303,2023"
161,499,Spring,10,"Mon/Wed 9:00-10:30,101,2024"
162,425,Spring,47,
163,42,Fall,379,"Mon/Wed 9:00-10:30,101,2024"
164,98,Summer,315,
165,449,Spring,96,"Tue/Thu 11:00-12:30,202,2025"
166,31,Spring,446,
167,158,Summer,103,
168,112,Spring,380,"Tue/Thu 11:00-12:30,202,2025"
169,402,Fall,342,"Mon 13:00-14:30,303,2023"
170,247,Spring,146,"Tue/Thu 11:00-12:30,202,2025"
171,122,Fall,368,"Mon/Wed 9:00-10:30,101,2024"
172,273,Fall,430,"Mon/Wed 9:00-10:30,101,2024"
173,294,Spring,416,"Mon/Wed 9:00-10:30,101,2024"
174,398,Summer,27,"Mon/Wed 9:00-10:30,101,2024"
175,471,Fall,220,"Mon/Wed 9:00-10:30,101,2024"
176,473,Summer,18,"Mon 13:00-14:30,303,2023"
177,207,Spring,167,"Mon 13:00-14:30,303,2023"
178,110,Fall,433,
179,440,Spring,477,"Mon/Wed 9:00-10:30,101,2024"
180,278,Summer,82,"Tue/Thu 11:00-12:30,202,2025"
181,451,Spring,428,"Mon/Wed 9:00-10:30,101,2024"
182,56,Spring,72,"Mon 13:00-14:30,303,2023"
183,375,Fall,310,"Mon/Wed 9:00-10:30,101,2024"
184,403,Spring,479,"Mon 13:00-14:30,303,2023"
185,57,Spring,254,
186,428,Spring,162,
187,482,Fall,327,
188,291,Summer,420,"Mon 13:00-14:30,303,2023"
189,114,Summer,402,"Mon/Wed 9:00-10:30,101,2024"
190,381,Spring,38,"Mon/Wed 9:00-10:30,101,2024"
191,385,Fall,443,"Tue/Thu 11:00-12:30,202,2025"
192,308,Spring,393,"Mon 13:00-14:30,303,2023"
193,341,Summer,201,"Tue/Thu 11:00-12:30,202,2025"
194,477,Fall,494,
195,198,Summer,200,"Mon/Wed 9:00-10:30,101,2024"
196,421,Summer,255,"Mon 13:00-14:30,303,2023"
197,321,Fall,179,"Tue/Thu 11:00-12:30,202,2025"
198,179,Fall,35,"Tue/Thu 11:00-12:30,202,2025"
199,385,Spring,82,"Tue/Thu 11:00-12:30,202,2025"
200,219,Spring,389,"Mon/Wed 9:00-10:30,101,2024"
201,277,Summer,398,"Mon/Wed 9:00-10:30,101,2024"
202,437,Fall,220,"Mon/Wed 9:00-10:30,101,2024"
203,16,Fall,158,"Mon 13:00-14:30,303,2023"
204,492,Spring,4,"Mon/Wed 9:00-10:30,101,2024"
205,379,Summer,167,"Mon 13:00-14:30,303,2023"
206,61,Summer,468,"Tue/Thu 11:00-12:30,202,2025"
207,54,Spring,448,"Tue/Thu 11:00-12:30,202,2025"
208,168,Fall,409,
209,26,Spring,412,"Mon/Wed 9:00-10:30,101,2024"
210,336,Spring,204,"Tue/Thu 11:00-12:30,202,2025"
211,476,Spring,194,"Mon/Wed 9:00-10:30,101,2024"
212,65,Spring,235,"Mon 13:00-14:30,303,2023"
213,100,Fall,206,"Tue/Thu 11:00-12:30,202,2025"
214,74,Spring,150,"Mon/Wed 9:00-10:30,101,2024"
215,192,Fall,159,"Tue/Thu 11:00-12:30,202,2025"
216,171,Spring,279,"Tue/Thu 11:00-12:30,202,2025"
217,273,Summer,304,"Mon/Wed 9:00-10:30,101,2024"
218,377,Fall,404,"Tue/Thu 11:00-12:30,202,2025"
219,187,Summer,381,"Tue/Thu 11:00-12:30,202,2025"
220,23,Spring,166,"Tue/Thu 11:00-12:30,202,2025"
221,391,Spring,311,"Tue/Thu 11:00-12:30,202,2025"
222,428,Spring,68,"Mon 13:00-14:30,303,2023"
223,181,Fall,463,"Tue/Thu 11:00-12:30,202,2025"
224,327,Summer,88,
225,108,Fall,217,"Tue/Thu 11:00-12:30,202,2025"
226,335,Fall,1,"Mon/Wed 9:00-10:30,101,2024"
227,162,Spring,135,
228,302,Summer,185,"Mon 13:00-14:30,303,2023"
229,493,Spring,351,
230,452,Fall,140,
231,206,Spring,106,
232,78,Summer,133,"Mon/Wed 9:00-10:30,101,2024"
233,16,Spring,108,"Mon/Wed 9:00-10:30,101,2024"
234,327,Summer,178,"Mon/Wed 9:00-10:30,101,2024"
235,96,Summer,298,"Mon 13:00-14:30,303,2023"
236,147,Spring,358,"Mon/Wed 9:00-10:30,101,2024"
237,2,Fall,380,"Mon/Wed 9:00-10:30,101,2024"
238,10,Spring,396,
239,434,Fall,359,"Mon/Wed 9:00-10:30,101,2024"
240,125,Fall,146,"Tue/Thu 11:00-12:30,202,2025"
241,81,Spring,450,"Mon/Wed 9:00-10:30,101,2024"
242,485,Fall,74,"Mon 13:00-14:30,303,2023"
243,140,Fall,463,"Mon 13:00-14:30,303,2023"
244,326,Spring,478,"Tue/Thu 11:00-12:30,202,2025"
245,150,Spring,108,"Mon 13:00-14:30,303,2023"
246,288,Spring,122,"Mon 13:00-14:30,303,2023"
247,361,Fall,17,
248,340,Summer,196,"Tue/Thu 11:00-12:30,202,2025"
249,129,Fall,327,
250,438,Summer,318,
251,239,Spring,297,"Mon/Wed 9:00-10:30,101,2024"
252,58,Summer,479,"Tue/Thu 11:00-12:30,202,2025"
253,198,Spring,499,"Mon/Wed 9:00-10:30,101,2024"
254,211,Spring,252,"Mon/Wed 9:00-10:30,101,2024"
255,402,Summer,487,
256,390,Spring,119,"Mon 13:00-14:30,303,2023"
257,45,Summer,162,"Tue/Thu 11:00-12:30,202,2025"
258,97,Spring,198,"Mon 13:00-14:30,303,2023"
259,279,Fall,498,
260,23,Fall,486,
261,410,Spring,45,
262,461,Spring,314,
263,391,Summer,179,
264,335,Fall,382,
265,44,Summer,418,"Mon 13:00-14:30,303,2023"
266,27,Spring,44,"Mon/Wed 9:00-10:30,101,2024"
267,282,Spring,271,"Mon 13:00-14:30,303,2023"
268,97,Summer,78,"Tue/Thu 11:00-12:30,202,2025"
269,463,Spring,326,"Mon 13:00-14:30,303,2023"
270,36,Fall,178,
271,109,Summer,357,"Mon 13:00-14:30,303,2023"
272,55,Fall,498,"Mon/Wed 9:00-10:30,101,2024"
273,192,Fall,416,"Tue/Thu 11:00-12:30,202,2025"
274,219,Fall,451,"Mon 13:00-14:30,303,2023"
275,185,Summer,3,"Mon/Wed 9:00-10:30,101,2024"
276,69,Spring,214,"Mon 13:00-14:30,303,2023"
277,317,Fall,342,"Tue/Thu 11:00-12:30,202,2025"
278,130,Fall,74,"Mon 13:00-14:30,303,2023"
279,55,Fall,51,
280,378,Spring,67,"Mon 13:00-14:30,303,2023"
281,97,Spring,332,"Mon/Wed 9:00-10:30,101,2024"
282,336,Summer,93,"Mon 13:00-14:30,303,2023"
283,87,Spring,176,"Mon/Wed 9:00-10:30,101,2024"
284,294,Summer,145,"Tue/Thu 11:00-12:30,202,2025"
285,119,Summer,7,"Mon 13:00-14:30,303,2023"
286,208,Summer,269,"Tue/Thu 11:00-12:30,202,2025"
287,334,Summer,376,"Tue/Thu 11:00-12:30,202,2025"
288,413,Summer,322,"Mon 13:00-14:30,303,2023"
289,154,Fall,4,"Mon/Wed 9:00-10:30,101,2024"
290,35,Spring,138,"Tue/Thu 11:00-12:30,202,2025"
291,79,Fall,231,"Tue/Thu 11:00-12:30,202,2025"
292,67,Summer,88,"Mon 13:00-14:30,303,2023"
293,343,Spring,17,"Mon 13:00-14:30,303,2023"
294,413,Fall,52,"Mon 13:00-14:30,303,2023"
295,34,Fall,134,"Mon 13:00-14:30,303,2023"
296,97,Summer,211,"Mon 13:00-14:30,303,2023"
297,169,Fall,325,
298,169,Fall,480,"Mon 13:00-14:30,303,2023"
299,151,Fall,458,"Mon/Wed 9:00-10:30,101,2024"
300,71,Fall,393,"Tue/Thu 11:00-12:30,202,2025"
301,3,Fall,219,"Mon/Wed 9:00-10:30,101,2024"
302,314,Summer,205,"Mon/Wed 9:00-10:30,101,2024"
303,32,Summer,211,
304,287,Fall,277,"Mon 13:00-14:30,303,2023"
305,82,Summer,24,"Tue/Thu 11:00-12:30,202,2025"
306,43,Summer,486,"Mon/Wed 9:00-10:30,101,2024"
307,391,Spring,4,"Mon 13:00-14:30,303,2023"
308,105,Fall,152,"Mon 13:00-14:30,303,2023"
309,1,Summer,443,
310,61,Summer,483,
311,270,Fall,259,
312,180,Spring,324,"Tue/Thu 11:00-12:30,202,2025"
313,224,Fall,357,"Mon/Wed 9:00-10:30,101,2024"
314,6,Spring,168,
315,103,Fall,176,
316,10,Fall,310,
317,71,Fall,291,"Mon/Wed 9:00-10:30,101,2024"
318,90,Fall,479,"Mon/Wed 9:00-10:30,101,2024"
319,226,Spring,56,
320,158,Spring,108,
321,228,Summer,473,"Mon 13:00-14:30,303,2023"
322,405,Fall,296,
323,126,Spring,461,"Tue/Thu 11:00-12:30,202,2025"
324,444,Spring,324,"Tue/Thu 11:00-12:30,202,2025"
325,209,Spring,302,
326,97,Fall,334,"Mon/Wed 9:00-10:30,101,2024"
327,74,Summer,141,"Mon 13:00-14:30,303,2023"
328,115,Spring,155,"Mon/Wed 9:00-10:30,101,2024"
329,191,Fall,262,
330,495,Spring,273,"Tue/Thu 11:00-12:30,202,2025"
331,170,Spring,420,"Mon 13:00-14:30,303,2023"
332,307,Summer,232,"Mon/Wed 9:00-10:30,101,2024"
333,448,Spring,241,"Mon/Wed 9:00-10:30,101,2024"
334,204,Spring,355,
335,56,Fall,337,"Mon 13:00-14:30,303,2023"
336,208,Fall,489,"Tue/Thu 11:00-12:30,202,2025"
337,41,Summer,258,
338,32,Fall,249,"Mon 13:00-14:30,303,2023"
339,15,Fall,77,"Mon/Wed 9:00-10:30,101,2024"
340,62,Summer,180,
341,155,Spring,66,"Mon/Wed 9:00-10:30,101,2024"
342,284,Summer,308,"Mon/Wed 9:00-10:30,101,2024"
343,209,Fall,348,
344,320,Summer,171,
345,494,Spring,474,
346,187,Summer,22,
347,498,Fall,367,
348,442,Fall,107,"Mon/Wed 9:00-10:30,101,2024"
349,130,Summer,439,"Tue/Thu 11:00-12:30,202,2025"
350,127,Spring,323,"Tue/Thu 11:00-12:30,202,2025"
351,292,Summer,227,
352,114,Spring,444,"Mon/Wed 9:00-10:30,101,2024"
353,199,Spring,442,"Tue/Thu 11:00-12:30,202,2025"
354,13,Summer,396,"Tue/Thu 11:00-12:30,202,2025"
355,271,Spring,216,"Tue/Thu 11:00-12:30,202,2025"
356,89,Fall,69,"Mon/Wed 9:00-10:30,101,2024"
357,215,Summer,84,
358,444,Spring,103,
359,278,Fall,39,
360,447,Summer,13,"Mon 13:00-14:30,303,2023"
361,474,Fall,297,"Mon 13:00-14:30,303,2023"
362,481,Fall,313,"Mon 13:00-14:30,303,2023"
363,203,Fall,181,"Mon/Wed 9:00-10:30,101,2024"
364,74,Spring,493,"Tue/Thu 11:00-12:30,202,2025"
365,25,Summer,268,"Tue/Thu 11:00-12:30,202,2025"
366,101,Summer,13,"Mon/Wed 9:00-10:30,101,2024"
367,176,Spring,120,"Mon/Wed 9:00-10:30,101,2024"
368,427,Summer,458,
369,117,Fall,353,
370,166,Summer,57,"Mon 13:00-14:30,303,2023"
371,41,Spring,40,"Mon 13:00-14:30,303,2023"
372,429,Fall,374,"Mon/Wed 9:00-10:30,101,2024"
373,344,Spring,336,"Mon 13:00-14:30,303,2023"
374,424,Fall,128,"Tue/Thu 11:00-12:30,202,2025"
375,366,Fall,173,"Mon/Wed 9:00-10:30,101,2024"
376,120,Summer,35,"Mon/Wed 9:00-10:30,101,2024"
377,97,Fall,259,"Tue/Thu 11:00-12:30,202,2025"
378,145,Spring,376,
379,216,Summer,5,
380,229,Spring,218,"Tue/Thu 11:00-12:30,202,2025"
381,313,Fall,11,"Tue/Thu 11:00-12:30,202,2025"
382,130,Spring,382,"Mon 13:00-14:30,303,2023"
383,352,Spring,327,"Mon/Wed 9:00-10:30,101,2024"
384,377,Fall,117,"Mon 13:00-14:30,303,2023"
385,318,Summer,184,"Tue/Thu 11:00-12:30,202,2025"
386,472,Spring,394,"Mon 13:00-14:30,303,2023"
387,137,Fall,362,"Tue/Thu 11:00-12:30,202,2025"
388,324,Summer,116,"Mon 13:00-14:30,303,2023"
389,337,Summer,162,"Mon 13:00-14:30,303,2023"
390,273,Summer,67,
391,117,Spring,200,"Tue/Thu 11:00-12:30,202,2025"
392,306,Spring,31,"Mon 13:00-14:30,303,2023"
393,368,Spring,75,"Mon/Wed 9:00-10:30,101,2024"
394,94,Summer,237,"Mon 13:00-14:30,303,2023"
395,168,Spring,327,"Mon 13:00-14:30,303,2023"
396,442,Fall,493,"Mon/Wed 9:00-10:30,101,2024"
397,203,Spring,66,"Tue/Thu 11:00-12:30,202,2025"
398,341,Spring,70,
399,149,Summer,297,
400,402,Spring,447,
401,183,Fall,416,"Mon/Wed 9:00-10:30,101,2024"
402,413,Summer,20,"Mon 13:00-14:30,303,2023"
403,152,Fall,441,"Tue/Thu 11:00-12:30,202,2025"
404,74,Summer,226,"Mon 13:00-14:30,303,2023"
405,365,Summer,434,
406,401,Spring,464,"Mon 13:00-14:30,303,2023"
407,274,Fall,409,"Mon/Wed 9:00-10:30,101,2024"
408,42,Summer,396,"Mon/Wed 9:00-10:30,101,2024"
409,496,Spring,199,"Tue/Thu 11:00-12:30,202,2025"
410,212,Summer,39,"Tue/Thu 11:00-12:30,202,2025"
411,101,Summer,145,
412,45,Summer,45,"Tue/Thu 11:00-12:30,202,2025"
413,82,Summer,395,"Mon 13:00-14:30,303,2023"
414,17,Summer,326,"Mon/Wed 9:00-10:30,101,2024"
415,73,Summer,381,"Mon/Wed 9:00-10:30,101,2024"
416,14,Spring,407,"Mon/Wed 9:00-10:30,101,2024"
417,433,Summer,91,"Tue/Thu 11:00-12:30,202,2025"
418,157,Fall,238,"Mon/Wed 9:00-10:30,101,2024"
419,223,Spring,70,"Mon/Wed 9:00-10:30,101,2024"
420,132,Fall,166,"Mon/Wed 9:00-10:30,101,2024"
421,338,Summer,130,
422,404,Fall,214,
423,376,Summer,340,"Tue/Thu 11:00-12:30,202,2025"
424,376,Summer,89,"Mon/Wed 9:00-10:30,101,2024"
425,47,Spring,335,"Tue/Thu 11:00-12:30,202,2025"
426,107,Spring,252,"Mon/Wed 9:00-10:30,101,2024"
427,108,Summer,369,"Mon/Wed 9:00-10:30,101,2024"
428,265,Spring,349,"Mon/Wed 9:00-10:30,101,2024"
429,205,Fall,72,"Tue/Thu 11:00-12:30,202,2025"
430,79,Spring,165,"Tue/Thu 11:00-12:30,202,2025"
431,155,Spring,49,"Mon/Wed 9:00-10:30,101,2024"
432,271,Fall,52,"Mon 13:00-14:30,303,2023"
433,476,Spring,289,"Tue/Thu 11:00-12:30,202,2025"
434,485,Summer,278,
435,247,Fall,114,"Tue/Thu 11:00-12:30,202,2025"
436,19,Summer,239,"Mon/Wed 9:00-10:30,101,2024"
437,346,Fall,133,"Mon 13:00-14:30,303,2023"
438,436,Summer,487,"Mon/Wed 9:00-10:30,101,2024"
439,26,Summer,274,
440,217,Spring,166,"Tue/Thu 11:00-12:30,202,2025"
441,154,Summer,374,"Tue/Thu 11:00-12:30,202,2025"
442,154,Spring,373,"Mon/Wed 9:00-10:30,101,2024"
443,174,Fall,293,"Mon/Wed 9:00-10:30,101,2024"
444,92,Summer,478,
445,433,Summer,243,"Mon 13:00-14:30,303,2023"
446,338,Fall,479,
447,480,Fall,320,"Mon 13:00-14:30,303,2023"
448,181,Summer,138,"Tue/Thu 11:00-12:30,202,2025"
449,131,Fall,79,"Mon 13:00-14:30,303,2023"
450,450,Spring,170,"Mon 13:00-14:30,303,2023"
451,481,Fall,123,"Tue/Thu 11:00-12:30,202,2025"
452,298,Fall,176,"Tue/Thu 11:00-12:30,202,2025"
453,275,Summer,300,"Tue/Thu 11:00-12:30,202,2025"
454,273,Spring,82,
455,492,Fall,87,"Tue/Thu 11:00-12:30,202,2025"
456,417,Spring,225,"Mon/Wed 9:00-10:30,101,2024"
457,76,Spring,16,"Tue/Thu 11:00-12:30,202,2025"
458,177,Spring,310,"Tue/Thu 11:00-12:30,202,2025"
459,184,Summer,358,"Tue/Thu 11:00-12:30,202,2025"
460,319,Fall,163,"Mon 13:00-14:30,303,2023"
461,131,Summer,98,
462,363,Fall,156,"Tue/Thu 11:00-12:30,202,2025"
463,49,Fall,2,
464,55,Summer,350,"Mon/Wed 9:00-10:30,101,2024"
465,154,Spring,397,"Mon/Wed 9:00-10:30,101,2024"
466,355,Spring,169,"Tue/Thu 11:00-12:30,202,2025"
467,200,Fall,464,"Mon/Wed 9:00-10:30,101,2024"
468,308,Summer,315,
469,356,Spring,325,"Mon 13:00-14:30,303,2023"
470,373,Spring,375,"Tue/Thu 11:00-12:30,202,2025"
471,118,Fall,92,"Mon/Wed 9:00-10:30,101,2024"
472,263,Fall,181,
473,46,Summer,231,
474,302,Fall,301,"Mon/Wed 9:00-10:30,101,2024"
475,356,Spring,148,
476,400,Spring,280,
477,408,Spring,189,"Tue/Thu 11:00-12:30,202,2025"
478,189,Spring,347,
479,310,Summer,350,"Mon/Wed 9:00-10:30,101,2024"
480,318,Summer,314,"Tue/Thu 11:00-12:30,202,2025"
481,129,Fall,493,"Mon/Wed 9:00-10:30,101,2024"
482,49,Fall,411,"Mon 13:00-14:30,303,2023"
483,25,Fall,410,"Mon/Wed 9:00-10:30,101,2024"
484,266,Summer,128,"Mon/Wed 9:00-10:30,101,2024"
485,118,Spring,7,"Tue/Thu 11:00-12:30,202,2025"
486,464,Fall,426,
487,144,Spring,47,"Mon/Wed 9:00-10:30,101,2024"
488,442,Fall,53,"Tue/Thu 11:00-12:30,202,2025"
489,200,Fall,187,"Mon 13:00-14:30,303,2023"
490,157,Fall,38,"Tue/Thu 11:00-12:30,202,2025"
491,487,Fall,453,"Tue/Thu 11:00-12:30,202,2025"
492,348,Fall,471,
493,134,Spring,476,"Mon/Wed 9:00-10:30,101,2024"
494,400,Fall,226,"Mon 13:00-14:30,303,2023"
495,148,Spring,53,"Tue/Thu 11:00-12:30,202,2025"
496,336,Summer,399,"Mon/Wed 9:00-10:30,101,2024"
497,71,Fall,224,"Mon/Wed 9:00-10:30,101,2024"
498,233,Spring,154,"Tue/Thu 11:00-12:30,202,2025"
499,334,Summer,48,"Mon/Wed 9:00-10:30,101,2024"
500,299,Summer,351,"Tue/Thu 11:00-12:30,202,2025"
