EnrollmentID,StudentID,OfferingID,EnrollmentDate,Grade
1,386,17,2023-07-16,B
2,62,19,2023-04-25,A
3,3,219,2023-05-01,
4,430,326,2024-10-14,
5,68,483,2023-03-06,A
6,25,120,2023-10-03,
7,179,101,2023-08-27,D
8,141,34,2023-10-29,F
9,231,84,2024-01-27,C
10,300,409,2024-06-05,D
11,163,196,2024-01-04,F
12,311,330,2023-08-21,F
13,471,202,2023-07-14,
14,393,344,2023-01-12,B
15,130,341,2024-11-19,B
16,445,11,2023-06-26,
17,246,347,2023-08-05,
18,297,400,2023-01-11,A
19,172,218,2024-03-21,A
20,64,445,2024-09-21,C
21,31,253,2023-06-13,C
22,492,222,2024-07-04,C
23,47,383,2023-02-22,C
24,130,369,2023-08-06,F
25,352,80,2024-12-18,F
26,466,7,2023-12-26,A
27,333,272,2024-01-20,B
28,110,227,2023-02-25,
29,69,16,2023-04-28,B
30,58,424,2023-09-10,D
31,106,12,2023-06-29,F
32,300,291,2024-02-19,C
33,330,241,2023-08-23,C
34,256,21,2024-12-08,D
35,312,178,2023-03-21,B
36,171,427,2024-10-08,C
37,383,228,2023-01-22,B
38,473,496,2024-04-21,
39,162,273,2024-03-15,D
40,485,288,2024-07-23,B
41,286,297,2023-04-03,
42,71,134,2023-07-11,B
43,255,472,2023-04-13,B
44,454,283,2024-01-31,C
45,374,404,2023-01-07,A
46,55,153,2024-10-01,F
47,323,66,2024-07-20,B
48,397,137,2023-08-19,B
49,3,92,2024-07-27,B
50,26,437,2023-08-28,A
51,313,317,2023-03-31,
52,126,422,2023-08-20,D
53,408,259,2024-04-01,C
54,53,468,2023-08-21,A
55,198,454,2023-12-20,
56,299,103,2023-11-29,B
57,188,481,2024-03-14,
58,186,55,2024-01-10,A
59,305,257,2023-10-19,A
60,298,101,2023-12-11,A
61,204,198,2024-10-25,D
62,497,301,2024-03-03,F
63,484,226,2024-10-18,C
64,450,431,2023-05-10,D
65,11,463,2023-05-21,D
66,359,237,2024-02-19,F
67,354,26,2023-04-03,D
68,474,121,2024-09-17,A
69,146,398,2023-10-11,A
70,85,182,2024-10-16,
71,100,199,2023-08-11,B
72,104,302,2024-04-07,D
73,436,255,2024-06-28,B
74,46,122,2023-10-03,C
75,44,31,2024-11-12,A
76,278,472,2023-05-20,
77,181,315,2023-12-23,C
78,187,479,2024-12-13,
79,478,285,2023-01-23,F
80,114,106,2023-09-27,A
81,491,224,2024-10-26,C
82,255,273,2023-11-29,F
83,381,398,2023-03-26,C
84,380,232,2024-09-12,
85,30,420,2023-01-31,F
86,264,256,2023-08-28,F
87,98,442,2023-12-29,A
88,313,496,2024-01-24,B
89,367,24,2024-10-14,
90,329,109,2024-10-29,
91,115,191,2023-10-26,F
92,276,347,2024-01-06,F
93,488,25,2023-04-09,A
94,281,187,2023-02-16,B
95,275,288,2024-02-26,
96,261,116,2024-04-24,D
97,331,338,2024-08-01,D
98,207,366,2023-03-03,B
99,384,402,2023-04-19,C
100,328,37,2024-11-09,A
101,211,282,2024-07-02,B
102,215,137,2023-04-29,D
103,411,227,2024-08-20,F
104,40,320,2024-01-17,D
105,480,328,2024-01-27,F
106,26,404,2023-02-21,A
107,27,182,2024-08-25,F
108,190,362,2023-10-16,B
109,83,86,2023-12-03,F
110,384,467,2023-07-23,C
111,434,414,2023-08-26,B
112,170,53,2024-01-17,A
113,413,348,2024-10-28,B
114,167,355,2023-05-16,C
115,188,235,2024-02-11,A
116,169,447,2024-05-22,D
117,289,267,2023-12-28,C
118,467,287,2024-01-16,A
119,229,433,2024-07-29,F
120,467,496,2024-09-26,B
121,97,487,2023-09-11,A
122,367,100,2024-04-21,B
123,16,478,2023-04-24,F
124,279,87,2023-01-20,A
125,135,403,2024-06-11,D
126,26,396,2023-05-25,C
127,352,15,2023-07-27,A
128,12,415,2024-06-14,F
129,72,427,2024-01-11,A
130,133,101,2024-05-18,B
131,106,165,2023-06-15,
132,220,463,2024-07-03,A
133,373,29,2023-06-30,D
134,453,114,2024-09-08,A
135,177,107,2024-09-03,C
136,282,410,2024-08-24,A
137,133,364,2024-03-19,
138,22,130,2023-11-28,B
139,463,84,2024-05-17,A
140,269,271,2023-03-20,D
141,412,244,2024-08-07,F
142,161,388,2024-11-18,A
143,107,214,2024-01-31,A
144,279,306,2024-08-30,C
145,353,166,2023-04-13,D
146,235,279,2024-02-06,
147,18,59,2023-08-12,F
148,242,90,2024-06-01,B
149,117,371,2024-09-25,A
150,286,331,2023-08-24,
151,282,412,2024-03-02,F
152,144,194,2023-04-26,B
153,205,123,2023-06-12,
154,39,136,2023-08-14,D
155,417,413,2023-08-18,D
156,154,139,2023-07-01,F
157,176,229,2023-09-06,B
158,449,274,2023-11-14,D
159,241,439,2023-07-29,F
160,422,50,2024-10-17,D
161,386,398,2024-01-27,D
162,369,118,2023-04-06,
163,134,202,2023-03-27,
164,46,483,2024-02-19,D
165,50,393,2024-01-29,C
166,166,483,2024-11-26,
167,106,395,2024-09-24,B
168,216,191,2024-05-15,F
169,146,364,2024-08-26,F
170,411,460,2024-08-04,B
171,425,323,2023-05-13,B
172,72,181,2024-10-10,B
173,476,423,2023-11-10,B
174,330,78,2024-11-29,A
175,273,440,2023-08-09,F
176,247,412,2024-03-13,A
177,446,75,2023-02-15,D
178,413,295,2023-07-11,D
179,186,281,2024-06-03,F
180,70,21,2024-01-14,D
181,462,394,2024-11-21,B
182,150,171,2023-11-30,A
183,246,15,2023-02-08,B
184,262,211,2023-10-20,D
185,26,48,2024-11-20,
186,423,86,2023-06-11,A
187,140,149,2023-11-27,B
188,99,188,2023-04-14,F
189,398,372,2023-06-10,B
190,278,492,2024-09-26,
191,51,480,2023-02-23,D
192,151,306,2023-02-03,A
193,432,151,2023-08-30,F
194,455,141,2023-04-23,A
195,104,69,2023-11-14,F
196,434,260,2023-01-23,A
197,89,476,2024-07-11,D
198,141,334,2024-10-08,F
199,213,456,2023-04-28,C
200,233,9,2024-12-01,A
201,394,121,2024-10-04,A
202,183,371,2023-07-31,B
203,251,419,2024-02-22,F
204,9,101,2023-04-23,
205,79,149,2023-02-13,C
206,52,442,2023-05-08,D
207,386,146,2023-06-07,B
208,409,353,2024-01-29,C
209,269,456,2024-05-26,F
210,226,243,2023-02-14,C
211,51,241,2023-04-18,A
212,186,337,2023-08-07,A
213,34,43,2024-03-18,B
214,291,95,2023-11-11,F
215,230,226,2023-06-26,F
216,131,6,2023-08-16,C
217,490,214,2024-12-03,B
218,120,206,2024-11-02,F
219,443,67,2023-09-24,
220,326,396,2024-01-14,
221,247,100,2024-05-03,A
222,432,12,2024-12-02,C
223,192,237,2024-11-17,D
224,497,322,2023-10-17,A
225,403,258,2023-12-23,B
226,323,399,2024-10-18,F
227,210,407,2023-07-23,A
228,103,413,2023-08-01,D
229,329,337,2024-07-05,D
230,372,480,2023-11-19,
231,460,135,2024-08-16,B
232,133,222,2023-06-30,A
233,323,156,2024-05-13,C
234,139,142,2023-11-16,A
235,121,428,2023-03-24,
236,94,158,2023-10-30,D
237,452,465,2023-09-19,B
238,453,416,2023-07-19,B
239,129,494,2023-08-28,C
240,91,326,2024-11-22,B
241,92,371,2024-11-13,
242,63,344,2023-10-22,
243,29,262,2024-05-26,
244,210,283,2024-11-19,B
245,12,338,2024-01-31,B
246,333,344,2023-05-18,
247,297,229,2023-05-09,B
248,130,376,2023-02-18,B
249,293,280,2024-11-06,D
250,173,358,2023-10-20,A
251,208,290,2024-09-19,F
252,432,168,2024-06-19,B
253,24,47,2023-11-07,F
254,99,463,2024-06-20,F
255,406,203,2024-09-30,D
256,356,214,2023-08-22,B
257,139,246,2023-07-28,
258,314,24,2024-08-27,F
259,174,321,2023-04-04,B
260,29,274,2023-11-23,C
261,419,44,2023-08-13,
262,496,332,2023-01-11,C
263,143,313,2023-11-25,C
264,316,363,2023-01-12,F
265,351,156,2023-02-04,C
266,42,488,2024-03-22,D
267,489,380,2024-03-27,D
268,299,199,2023-08-08,F
269,208,407,2024-03-16,B
270,330,469,2024-10-14,A
271,433,162,2024-06-18,B
272,192,395,2024-08-17,B
273,160,470,2023-08-17,B
274,64,234,2023-12-10,B
275,243,163,2023-03-21,
276,258,116,2023-12-19,A
277,152,93,2024-01-31,
278,215,42,2023-10-17,C
279,322,284,2024-03-30,B
280,166,379,2024-11-01,D
281,31,210,2023-05-08,F
282,371,206,2024-12-02,F
283,232,466,2024-06-26,
284,282,220,2023-12-25,
285,29,280,2024-06-10,D
286,195,136,2023-11-09,B
287,334,106,2023-03-16,A
288,256,118,2024-06-29,C
289,281,237,2023-07-15,F
290,304,309,2023-01-29,C
291,321,456,2024-12-06,A
292,437,388,2023-01-16,
293,323,475,2024-02-27,F
294,346,100,2024-08-11,C
295,402,261,2024-08-15,
296,393,481,2024-02-09,A
297,294,305,2024-09-27,C
298,87,354,2024-06-14,B
299,149,286,2024-09-05,
300,249,328,2023-03-18,A
301,321,103,2023-08-17,C
302,405,63,2023-10-24,B
303,283,175,2024-05-24,B
304,362,282,2024-12-15,A
305,379,441,2024-07-26,D
306,198,293,2024-06-21,F
307,44,226,2024-08-05,A
308,356,7,2024-09-06,B
309,28,127,2023-11-22,B
310,429,424,2023-12-29,A
311,17,92,2024-10-30,D
312,127,423,2023-12-25,F
313,379,190,2024-12-06,C
314,168,359,2023-11-20,A
315,244,476,2024-11-28,F
316,387,462,2023-11-22,F
317,76,53,2024-09-16,
318,231,242,2023-06-14,B
319,204,486,2024-07-26,C
320,450,132,2024-08-26,A
321,248,490,2024-03-30,B
322,302,466,2023-06-02,
323,214,364,2023-05-07,
324,215,112,2023-07-12,B
325,158,409,2024-09-18,D
326,69,7,2024-06-13,F
327,393,230,2023-01-10,A
328,85,156,2023-04-02,A
329,267,197,2023-05-19,A
330,69,323,2024-04-25,B
331,99,364,2024-03-24,D
332,347,223,2023-11-29,C
333,497,367,2023-12-06,
334,450,490,2023-02-21,B
335,216,250,2024-12-07,C
336,415,404,2024-04-10,
337,161,83,2024-12-18,
338,423,240,2024-04-19,D
339,94,380,2024-02-05,F
340,174,395,2024-03-14,A
341,165,360,2024-08-27,C
342,115,323,2024-10-18,B
343,220,471,2024-08-20,C
344,444,263,2024-05-23,F
345,31,407,2023-06-02,A
346,11,189,2024-05-28,C
347,343,455,2024-05-17,F
348,377,366,2024-11-06,B
349,130,290,2023-01-06,D
350,488,362,2024-05-14,
351,105,403,2024-10-22,B
352,27,58,2024-12-17,A
353,227,9,2023-04-28,
354,2,304,2024-04-29,B
355,359,115,2024-08-23,B
356,101,210,2024-10-27,B
357,21,41,2024-11-09,B
358,58,304,2024-04-12,
359,389,173,2023-06-10,A
360,180,234,2023-09-27,F
361,429,281,2023-02-25,C
362,341,372,2023-08-16,D
363,349,78,2023-05-29,C
364,20,108,2023-02-15,C
365,255,281,2023-05-24,D
366,317,403,2024-09-23,
367,38,39,2023-12-06,A
368,148,119,2024-02-17,D
369,498,335,2025-01-01,A
370,25,336,2024-06-03,
371,386,27,2023-12-10,C
372,121,104,2024-01-22,A
373,416,74,2024-04-17,
374,26,191,2023-10-02,
375,454,324,2023-12-19,F
376,169,499,2023-03-07,D
377,323,147,2023-03-20,F
378,225,255,2024-08-20,C
379,1,284,2024-09-27,D
380,307,213,2023-07-21,C
381,261,123,2024-10-23,F
382,13,495,2024-07-11,
383,403,206,2023-04-23,C
384,396,417,2023-04-01,D
385,48,240,2023-05-21,D
386,409,394,2023-10-16,C
387,313,339,2024-12-30,D
388,371,286,2024-08-11,
389,291,22,2024-02-15,
390,332,259,2024-01-12,D
391,94,357,2024-01-19,C
392,261,105,2023-06-01,F
393,482,466,2024-09-18,D
394,278,459,2023-11-15,D
395,359,432,2024-01-04,D
396,205,258,2024-08-28,D
397,185,204,2024-07-13,C
398,175,310,2024-12-03,F
399,438,262,2024-04-06,F
400,387,107,2023-01-12,A
401,380,251,2023-06-05,D
402,309,424,2024-11-14,D
403,468,492,2024-04-21,A
404,415,221,2024-02-05,F
405,69,379,2023-06-26,B
406,472,222,2023-12-07,
407,104,258,2023-02-26,B
408,246,201,2024-03-23,F
409,161,367,2023-07-22,D
410,200,258,2024-11-27,B
411,216,349,2024-09-24,C
412,434,225,2023-07-21,C
413,212,202,2023-11-26,A
414,16,226,2023-12-29,F
415,498,236,2024-03-29,F
416,372,183,2023-12-22,B
417,332,200,2023-08-04,D
418,205,357,2024-07-08,F
419,365,246,2023-01-23,B
420,490,444,2023-06-04,B
421,39,353,2023-07-05,
422,89,111,2023-09-06,
423,430,6,2023-05-14,F
424,256,236,2023-11-17,B
425,480,127,2024-01-25,A
426,254,104,2024-03-09,A
427,216,237,2023-01-22,
428,368,403,2024-08-22,F
429,303,480,2024-10-26,D
430,172,155,2023-05-05,A
431,137,257,2023-03-20,A
432,488,235,2023-02-20,
433,498,500,2024-12-28,
434,471,289,2023-06-25,F
435,384,40,2023-09-10,
436,178,288,2023-09-03,C
437,77,197,2023-04-16,B
438,188,273,2023-07-12,A
439,480,382,2023-11-12,C
440,498,264,2023-10-29,D
441,15,57,2024-07-01,C
442,292,298,2024-12-16,F
443,497,98,2023-09-25,D
444,319,137,2023-06-19,D
445,325,376,2024-07-04,
446,214,87,2024-03-30,C
447,208,419,2024-10-12,F
448,169,242,2023-10-19,A
449,330,199,2024-07-17,
450,280,463,2023-05-21,C
451,466,437,2023-05-26,A
452,305,310,2024-02-29,C
453,146,84,2023-11-10,
454,263,242,2023-07-03,A
455,4,281,2024-10-25,
456,90,323,2024-12-13,C
457,453,252,2023-05-08,D
458,60,190,2023-10-14,B
459,311,439,2023-09-10,D
460,16,430,2024-11-30,
461,227,152,2024-01-21,
462,474,482,2023-08-18,
463,466,302,2023-09-28,A
464,29,278,2024-02-19,F
465,151,139,2023-07-17,
466,245,176,2023-11-19,D
467,270,8,2023-02-25,B
468,79,295,2023-07-22,
469,433,235,2024-09-12,
470,289,163,2024-09-19,
471,153,49,2024-08-26,A
472,277,302,2023-05-18,
473,401,38,2024-02-26,D
474,279,136,2023-02-26,C
475,57,310,2024-07-15,F
476,491,421,2023-03-12,
477,465,219,2024-08-16,A
478,186,348,2024-01-07,D
479,398,296,2024-09-08,
480,93,34,2024-08-22,A
481,276,352,2024-05-28,C
482,158,79,2023-03-25,B
483,275,236,2023-02-12,
484,181,383,2024-10-27,D
485,359,273,2024-08-28,A
486,440,161,2023-05-13,A
487,77,175,2024-01-30,
488,466,366,2023-03-06,A
489,151,308,2023-10-17,B
490,446,374,2024-01-11,A
491,238,464,2024-04-11,F
492,289,221,2023-08-01,F
493,231,9,2023-05-28,A
494,488,289,2024-07-26,
495,18,444,2024-04-15,F
496,73,113,2023-05-29,D
497,417,477,2023-03-29,F
498,416,205,2023-11-20,A
499,189,405,2024-01-31,
500,438,186,2024-02-08,C
